"Security Name","Symbol Name","Trade Date","Quantity"
"DR. REDDY'S LABORATORIES","DRREDDY","15-Apr-2026","160"
"Oracle Financial Services Software Limited","OFSS","15-Apr-2026","45"
"SIEMENS LTD","SIEMENS","15-Apr-2026","1954"
"TECH MAHINDRA LIMITED","TECHM","15-Apr-2026","50"
"IRB INFRA DEV LTD.","IRB","15-Apr-2026","3211"
"NMDC LTD.","NMDC","15-Apr-2026","54126"
"INTELLECT DESIGN ARENA   ","INTELLECT","15-Apr-2026","22"
"VARUN BEVERAGES LIMITED    ","VBL","15-Apr-2026","25"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","15-Apr-2026","2"
"KAYNES TECHNOLOGY IND LTD","KAYNES","15-Apr-2026","100"
"IIFL CAPITAL SERVICES LTD","IIFLCAPS","15-Apr-2026","20"
"HBL ENGINEERING LTD","HBLENGINE","15-Apr-2026","41"
"NETWEB TECH INDIA LTD","NETWEB","15-Apr-2026","964"
"ICICIPRAMC - EVIETF","EVIETF","15-Apr-2026","50"
"ABB LTD.","ABB","15-Apr-2026","2"
"BHEL","BHEL","15-Apr-2026","2"
"MAHINDRA & MAHINDRA LTD","M&M","15-Apr-2026","32"
"WIPRO LTD","WIPRO","15-Apr-2026","669436"
"RURAL ELEC CORP. LTD.","RECLTD","15-Apr-2026","300"
"AU SMALL FINANCE BANK LIMITED","AUBANK","15-Apr-2026","26"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","15-Apr-2026","1"
"GREAVES COTTON LTD","GREAVESCOT","15-Apr-2026","10"
"PG ELECTROPLAST LTD","PGEL","15-Apr-2026","10"
"ADANI ENERGY SOLUTION LTD","ADANIENSOL","15-Apr-2026","2"
"GOLDIAM INTERNATIONAL LTD","GOLDIAM","15-Apr-2026","103"
"HYUNDAI MOTOR INDIA LTD","HYUNDAI","15-Apr-2026","275"
"AONEAMC - AONELIQUID","AONELIQUID","15-Apr-2026","95"
"MARUTI SUZUKI INDIA LTD.","MARUTI","15-Apr-2026","5"
"RELIANCE INDUSTRIES LTD","RELIANCE","15-Apr-2026","52"
"TATA POWER CO LTD","TATAPOWER","15-Apr-2026","15"
"TATA TELESERV(MAHARASTRA)","TTML","15-Apr-2026","1129"
"VOLTAS LTD","VOLTAS","15-Apr-2026","25"
"POWER FIN CORP LTD.","PFC","15-Apr-2026","200"
"DLF LIMITED","DLF","15-Apr-2026","123"
"UPL LIMITED","UPL","15-Apr-2026","100"
"APL APOLLO TUBES LTD","APLAPOLLO","15-Apr-2026","11"
"VEDANTA LIMITED","VEDL","15-Apr-2026","55"
"MOTILALAMC - MOLOWVOL","MOLOWVOL","15-Apr-2026","1"
"FORCE MOTORS LIMITED","FORCEMOT","15-Apr-2026","25"
"ETERNAL LIMITED","ETERNAL","15-Apr-2026","314"
"ATHER ENERGY LIMITED","ATHERENERG","15-Apr-2026","120"
"FSN E COMMERCE VENTURES","NYKAA","15-Apr-2026","1"
"ICICIPRAMC - PSUBANKICI","PSUBNKIETF","15-Apr-2026","1"
"LTIMINDTREE LIMITED","LTM","15-Apr-2026","451"
"ICICI BANK LTD.","ICICIBANK","15-Apr-2026","4"
"OIL AND NATURAL GAS CORP.","ONGC","15-Apr-2026","3"
"CG POWER AND INDUSTRIAL SOLUTIONS LIMITED","CGPOWER","15-Apr-2026","1"
"GLENMARK PHARMACEUTICALS LIMITED","GLENMARK","15-Apr-2026","26"
"SOLAR INDUSTRIES (I) LTD","SOLARINDS","15-Apr-2026","1"
"MOIL LIMITED     ","MOIL","15-Apr-2026","54"
"L&T FINANCE LIMITED","LTF","15-Apr-2026","38250"
"SAMVRDHNA MTHRSN INT","MOTHERSON","15-Apr-2026","1500"
"KRN HEAT EXCHANGE N REF L","KRN","15-Apr-2026","30"
"COFORGE LIMITED","COFORGE","15-Apr-2026","1"
"BHARAT ELECTRONICS LTD","BEL","15-Apr-2026","56"
"GAIL (INDIA) LTD","GAIL","15-Apr-2026","1"
"INDIAN OIL CORP LTD","IOC","15-Apr-2026","1000"
"TATA CONSULTANCY SERV LT","TCS","15-Apr-2026","2835"
"LUPIN LIMITED","LUPIN","15-Apr-2026","15"
"ADANI PORT & SEZ LTD","ADANIPORTS","15-Apr-2026","100"
"APOLLO HOSPITALS ENTERPRISE LIMITED","APOLLOHOSP","15-Apr-2026","6"
"NESTLE INDIA LIMITED","NESTLEIND","15-Apr-2026","1"
"IRFC","IRFC","15-Apr-2026","10"
"PCBL LIMITED","PCBL","15-Apr-2026","25"
"WAAREE RENEWABLE TECH LTD","WAAREERTL","15-Apr-2026","7"
"INDIAN RENEWABLE ENERGY","IREDA","15-Apr-2026","350"
"MOTILALAMC - MOMIDMTM","MOMIDMTM","15-Apr-2026","4"
"BHARAT PETROLEUM CORP  LT","BPCL","15-Apr-2026","1048"
"HINDUSTAN PETROLEUM CORP","HINDPETRO","15-Apr-2026","301"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","15-Apr-2026","10"
"LARSEN & TOUBRO LTD.","LT","15-Apr-2026","54"
"YES BANK LIMITED","YESBANK","15-Apr-2026","1"
"EICHER MOTORS LIMITED","EICHERMOT","15-Apr-2026","6"
"BAYER CROPSCIENCE LTD    ","BAYERCROP","15-Apr-2026","42"
"ASTRAL POLY TECHNIK LIMITED","ASTRAL","15-Apr-2026","75"
"KOTAKMAMC - KOTAKMID50","MIDCAP","15-Apr-2026","1"
"RAILTEL","RAILTEL","15-Apr-2026","140"
"APTUS VALUE HSG FIN I LTD","APTUS","15-Apr-2026","500"
"HDFCAMC HDFCPSUBK","HDFCPSUBK","15-Apr-2026","1"
"LG ELECTRONICS INDIA LTD","LGEINDIA","15-Apr-2026","2500"
"GALLANTT ISPAT LIMITED","GALLANTT","15-Apr-2026","7919"
"BANK OF BARODA","BANKBARODA","15-Apr-2026","150"
"TATA CHEMICALS LTD","TATACHEM","15-Apr-2026","182"
"TATA STEEL LIMITED","TATASTEEL","15-Apr-2026","84"
"SUZLON ENERGY LIMITED","SUZLON","15-Apr-2026","201100"
"PURAVANKARA PROJ. LTD.","PURVA","15-Apr-2026","159"
"HINDUSTAN ZINC LIMITED","HINDZINC","15-Apr-2026","275"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","15-Apr-2026","3"
"VIP INDUSTRIES LTD","VIPIND","15-Apr-2026","27"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","15-Apr-2026","5"
"HINDUSTAN AERONAUTICS LTD","HAL","15-Apr-2026","3"
"ZYDUS WELLNESS LIMITED","ZYDUSWELL","15-Apr-2026","2"
"KEI INDUSTRIES LTD.      ","KEI","15-Apr-2026","179"
"ADANI WILMAR LIMITED","AWL","15-Apr-2026","31"
"KIRLOSKAR BROTHERS LTD","KIRLOSBROS","15-Apr-2026","2"
"EDELAMC - EBBETF0433","EBBETF0433","15-Apr-2026","44"
"VISHAL MEGA MART LIMITED","VMM","15-Apr-2026","810"
"WEBSOL ENERGY SYSTEM LTD","WEBELSOLAR","15-Apr-2026","139283"
"MTAR TECHNOLOGIES LIMITED","MTARTECH","15-Apr-2026","5"
"TATA MOTORS PASS VEH LTD","TMPV","15-Apr-2026","300"
"ADANI TOTAL GAS LIMITED","ATGL","15-Apr-2026","10"
"VEDANT FASHIONS LIMITED","MANYAVAR","15-Apr-2026","30"
"SAMMAAN CAPITAL LIMITED","SAMMAANCAP","15-Apr-2026","200"
"PREMIER ENERGIES LIMITED","PREMIERENE","15-Apr-2026","575"
"TENNECO CLEAN AIR INDIA L","TENNIND","15-Apr-2026","170"
"CHENNAI PETROLEUM CORP LT","CHENNPETRO","15-Apr-2026","102"
"HCL TECHNOLOGIES LTD","HCLTECH","15-Apr-2026","62300"
"HDFC BANK LTD","HDFCBANK","15-Apr-2026","3"
"POWER GRID CORP. LTD.","POWERGRID","15-Apr-2026","50"
"ADANI POWER LTD","ADANIPOWER","15-Apr-2026","1"
"HDFC STANDARD LIFE INSURANCE COMPANY LIMITED","HDFCLIFE","15-Apr-2026","5"
"DIXON TECHNO (INDIA) LTD","DIXON","15-Apr-2026","128"
"THE NEW INDIA ASSU CO LTD","NIACL","15-Apr-2026","269"
"MAX HEALTHCARE INS LTD","MAXHEALTH","15-Apr-2026","1"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","15-Apr-2026","24"
"SBI LIFE INSURANCE COMPANY LIMITED","SBILIFE","15-Apr-2026","15"
"ZYDUS LIFESCIENCES","ZYDUSLIFE","15-Apr-2026","1"
"STERLITE TECHNOLOGIES","STLTECH","15-Apr-2026","1453"
"BILLIONBRAINS GARAGE VN L","GROWW","15-Apr-2026","10"
"QUALITY POWER ELEC EQUP L","QPOWER","15-Apr-2026","4"
